id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,occupancy_rate,estimated_annual_revenue,revenue_per_available_day,host_type,host_performance_score,neighbourhood_average_price,demand_score,days_since_last_review,city_average_price,price_index,price_category,minimum_nights_bucket
6123863,"Stylish Remodeled House With Deck, Steps To Dining",9072515,Jessica,Not Specified,West University Heights,32.75992,-117.14292,Entire Home/Apt,$215.00,2,28,12/7/2020,0.44,1,300,San Diego,17.80%,"$13,975.00",38.27,Individual,2.19,$129.40,-0.55,2,$306.57,0.7,Budget,2–3 Nights
33341740,"Lux420, Rftop Deck, Hot Tub, Elvtr In Of Denver",111000374,Elma,Not Specified,Five Points,39.75436,-104.98469,Entire Home/Apt,$599.00,30,35,12/29/2019,2.42,3,362,Denver,0.80%,"$1,797.00",4.792,Small Operator,0.23,$214.40,1.39,346,$209.59,2.86,Premium,8–30 Nights
21784725,Large Pool House In Hollywood New Pool Deck,158736535,Euseb,Not Specified,Hollywood,26.016,-80.23088,Entire Home/Apt,$214.00,2,10,2/17/2020,0.36,1,331,Broward County,9.30%,"$7,276.00",19.902,Individual,0.33,$198.89,-0.88,296,$253.11,0.85,Average,2–3 Nights
30562982,"Modern 2 Br House In Hollywood, Keyless Entry!",134940933,Jonathan,City Of Los Angeles,Hollywood Hills,34.11915,-118.32028,Entire Home/Apt,$290.00,30,0,,0,1,0,Los Angeles,100.00%,"$105,850.00",290,Individual,0.00,$290.88,-1.13,,$230.70,1.26,Premium,8–30 Nights
41833198,New Renovated House - Hard Rock / Hollywood Beach,120149672,Yaseen,Not Specified,Hollywood,26.01587,-80.23007,Entire Home/Apt,$250.00,2,10,4/28/2020,2.16,1,15,Broward County,95.90%,"$87,500.00",239.75,Individual,20.71,$198.89,0.26,225,$253.11,0.99,Average,2–3 Nights
14819644,1Br Suite Wyndham Grand Desert,92639159,James,Not Specified,Unincorporated Areas,36.10858,-115.1621,Entire Home/Apt,$313.00,2,1,11/29/2016,0.02,1,89,Clark County,75.60%,"$86,388.00",236.628,Individual,0.02,$215.51,-1.06,1471,$191.70,1.63,Premium,2–3 Nights
16084484,1 Bedroom Downtown - Great For Business Family,266855,Gayle,Not Specified,Palo Alto,37.44526,-122.15469,Entire Home/Apt,$185.00,30,106,2/28/2020,2.46,1,280,San Clara Country,23.30%,"$15,725.00",43.105,Individual,60.76,$283.85,1.84,285,$167.26,1.11,Average,8–30 Nights
24659161,Cozy Room In Castro/Duboce Triangle!,4335499,Manana,Not Specified,Castro/Upper Market,37.76655,-122.4346,Private Room,$45.00,30,0,,0,1,319,San Francisco,12.60%,"$2,070.00",5.67,Individual,0.00,$262.96,-1.54,,$295.23,0.15,Budget,8–30 Nights
39790382,Modern Loft/ Minutes From The Airport,101553583,Sally,Not Specified,District 13,36.14729,-86.64071,Entire Home/Apt,$175.00,2,5,6/22/2020,0.6,1,159,Nashville,56.40%,"$36,050.00",98.7,Individual,1.69,$148.38,-0.88,170,$223.27,0.78,Budget,2–3 Nights
32338786,Discovery Bay 2712,74079684,Marina,Honolulu,Primary Urban Center,21.28495,-157.83874,Entire Home/Apt,$113.00,1,0,,0,189,258,Hawaii,29.30%,"$12,091.00",33.109,Commercial Operator,0.00,$219.00,-1.42,,$316.90,0.36,Budget,1 Night
34054773,Private Santa Monica Room Surrounded By Trees,28637094,Anthony,Other Cities,Santa Monica,34.02926,-118.46166,Private Room,$84.00,1,22,11/27/2019,1.34,1,0,Los Angeles,100.00%,"$30,660.00",84,Individual,29.48,$169.33,-0.32,378,$230.70,0.36,Budget,1 Night
21968777,Charming Apartment In The Heart Of Hollywood,122044964,Eddy,City Of Los Angeles,Hollywood,34.09875,-118.34166,Entire Home/Apt,$135.00,30,95,3/14/2019,2.88,1,365,Los Angeles,0.00%,$0.00,0,Individual,0.00,$198.89,1.84,636,$230.70,0.59,Budget,8–30 Nights
38995874,Best Location In Pb 2Bd/1Ba! Walk To The Beach,14326301,Michael,Not Specified,Pacific Beach,32.80065,-117.25129,Entire Home/Apt,$249.00,1,30,7/24/2020,3.64,2,227,San Diego,37.80%,"$34,362.00",94.122,Small Operator,20.64,$660.48,1.47,138,$306.57,0.81,Average,1 Night
44459062,Luxurious 1 Bed Villa In Las Vegas Great Price!,110463251,Cecilia,Not Specified,Unincorporated Areas,36.05771,-115.17134,Entire Home/Apt,$110.00,7,0,,0,2,173,Clark County,52.60%,"$21,120.00",57.86,Small Operator,0.00,$215.51,-1.43,,$191.70,0.57,Budget,4–7 Nights
441125,Uptown Home W/Room To Spread Out!,2191889,Chris,Not Specified,Audubon,29.9318,-90.11481,Entire Home/Apt,$540.00,1,35,3/16/2020,0.35,2,206,New Orleans,43.60%,"$85,860.00",235.44,Small Operator,2.67,$356.00,0.05,268,$158.95,3.4,Premium,1 Night
21126499,Acl Dream Walkable To Bars,64683738,Zach,Not Specified,78703,30.2686,-97.75232,Entire Home/Apt,"$1,000.00",3,1,9/2/2019,0.05,1,365,Austin,0.00%,$0.00,0,Individual,0.00,$351.46,0.10,464,$267.45,3.74,Premium,2–3 Nights
21366927,Casita Of North Park,8039293,Juan,Not Specified,North Hills,32.74392,-117.129,Entire Home/Apt,$130.00,3,61,3/24/2020,3.16,1,0,San Diego,100.00%,"$47,450.00",130,Individual,192.76,$185.26,1.47,260,$306.57,0.42,Budget,2–3 Nights
43542914,Brand New! The Perfect Backhouse In Center Of La,305788861,Zevi,City Of Los Angeles,Fairfax,34.08023,-118.35169,Entire Home/Apt,$102.00,2,1,8/22/2020,1,2,82,Los Angeles,77.50%,"$28,866.00",79.05,Small Operator,0.39,$248.60,-0.82,109,$230.70,0.44,Budget,2–3 Nights
45126514,Relax In An Apt Of Your Own 2Br In Austin,304341894,Kia,Not Specified,78730,30.39141,-97.83946,Entire Home/Apt,$134.00,30,0,,0,35,356,Austin,2.50%,"$1,206.00",3.35,Commercial Operator,0.00,$272.25,-1.39,,$267.45,0.5,Budget,8–30 Nights
37494808,Enticing Home On The Cumberland River!,143993920,Cory,Not Specified,District 7,36.20211,-86.69759,Entire Home/Apt,$463.00,3,14,1/3/2020,1.21,2,255,Nashville,30.10%,"$50,930.00",139.363,Small Operator,2.55,$235.50,0.11,341,$223.27,2.07,Premium,2–3 Nights
40841455,Modern 2Br At Logan Sq Perfect For Fun Getaway,148973907,Mia Noah,Not Specified,Logan Square,41.9145,-87.71047,Entire Home/Apt,$97.00,1,15,7/9/2020,1.77,21,206,Chicago,43.60%,"$15,423.00",42.292,Commercial Operator,0.55,$130.33,-0.15,153,$152.45,0.64,Budget,1 Night
22496369,Pleasant Low-Priced Place In Manhattan,23719409,Carlina,Manhattan,Harlem,40.82645,-73.94984,Private Room,$47.00,1,56,9/9/2019,1.72,2,0,New York City,100.00%,"$17,155.00",47,Small Operator,48.16,$114.51,0.38,457,$162.83,0.29,Budget,1 Night
564220,Cute Bungalow 2 - Near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57917,-122.29212,Private Room,$40.00,2,194,11/3/2020,2.03,2,295,Seattle,19.20%,"$2,800.00",7.68,Small Operator,37.81,"$1,391.50",2.73,36,$228.97,0.17,Budget,2–3 Nights
45166526,"Golf Course, Modern 3 Bedroom Home, King Bed",364769848,Lizabeth,Not Specified,Unincorporated Areas,35.08171,-114.60535,Entire Home/Apt,$128.00,1,0,,0,1,83,Clark County,77.30%,"$36,096.00",98.944,Individual,0.00,$215.51,-1.40,,$191.70,0.67,Budget,1 Night
35579892,Mermaid House,267697509,Virginia,Washington,New Shoreham,41.16389,-71.6041,Entire Home/Apt,$250.00,3,21,6/28/2020,1.87,1,81,Rhode Island,77.80%,"$71,000.00",194.5,Individual,30.55,$260.00,0.26,164,$275.02,0.91,Average,2–3 Nights
23002713,Million Dollar Views,170623356,Jimmy,Honolulu,Primary Urban Center,21.27195,-157.82169,Entire Home/Apt,$99.00,2,46,11/5/2019,1.45,1,253,Hawaii,30.70%,"$11,088.00",30.393,Individual,20.48,$219.00,0.15,400,$316.90,0.31,Budget,2–3 Nights
